Question	Words count	Misspeling count	Misspeling errored	Question Length
как звать лодочник река Стокс древнегреческий мифология	7	1	0	55
как химия обозначаться свинец	4	0	0	29
какой химический элемент преобладать состав каменный уголь	7	0	0	58
кто перечисленный паж время Екатерина	5	1	0	37
когда начаться мировой война	4	0	0	28
какой эра геологический история земля относиться настоящий время	8	0	0	64
кто животное мурлыкать	3	0	0	22
что перечисленный не входить национальный русский кухня	7	0	0	55
какой этот мультфильм повествовать реально существовать собака	7	0	0	62
кто написать повесть «муму»	4	0	0	27
что такой кульверт	3	0	1	18
в вода маленький содержание примесь	5	0	0	35
сколько музыкант квинтет	3	0	0	24
кругом вод посредине закон что это такой	7	0	0	40
в какой год начаться один мировой война	7	0	0	39
Сергей шнур один интервью сравнить жена героиня картина	8	1	0	55
какой цвета относиться панафриканский	4	0	0	37
в какой год разработать один компьютерный игра	7	0	0	46
сколько месяц год иметь день	5	0	0	28
с какой год столицей Россия стать Санкт Петербург	8	4	0	49
как называться часть речь обладать свойство глагол прилагательное	8	0	0	65
дата основание Санкт Петербург	4	2	0	30
когда запустить «википедия»	3	0	0	27
не торопливый прогулка подиум	4	0	0	29
что такой алопеция	3	0	0	18
в какой возраст умереть Мэриленд мокро	6	2	0	37
что доставать широкий штанина Владимир каковский свой стихотворение	8	2	0	68
какой этот язык принадлежать тюркский языковой группа	7	1	0	54
кто разработать теория гелиоцентрический система мир	6	0	0	52
кто напасть СССР	3	1	0	16
какой племя основное населять нынешний территория франция	7	0	0	57
от болезнь защищать прививка ад метр	6	1	0	37
что перечисленный самый оттоманка	4	0	0	33
когда последний сборная Россия хоккей выигрывать олимпиада	7	1	0	58
сколько химический элемент таблица Менделеев	5	1	0	44
звать отец соловей разбойник	4	0	0	28
какой самый большой планет солнечный система	6	0	0	44
день рождение Владимир Владимир паутин	5	3	0	37
сколько разновидность муха существовать	4	0	0	39
когда европейский страна праздновать день рождение мишка тверди	8	1	0	62
что означать физика	3	0	0	19
где находиться яд кобра	4	0	0	23
кто являться нынешний президент Армения	5	1	0	39
кто игрок наб являться лидер очки карьер	7	1	0	40
как называть коренной житель город Пенза	6	1	0	40
как звать создатель паровой машина	5	0	0	34
найти логика папа папа	4	0	0	22
в страна находиться самый большой здание мир	7	0	0	44
сколько палец лапа кошка	4	0	0	24
сколько год год	3	0	0	15
кто иван ай	3	1	0	12
при какой князь произойти крещение Русь	6	1	0	39
сколько время ферментироваться чеснок	4	0	0	37
назвать фамилия овцевод который год исследовать южный побережье Австралия	9	1	0	73
какой настоящее имя певица лак	5	1	0	31
сколько котов проживать поместье Эрнест хэмингуэя год	7	1	1	53
самый яркий звезда солнце	4	0	0	25
что перечисленный являться крест раж волан де морит	7	2	0	49
на какой флаг изобразить лютая звезда красный фон	8	1	0	48
какой имя хана фонтана простой школьница подросток	7	2	0	51
из какой фильм пошло крылатый выражение ну блин давать	9	0	0	54
самый старый религия	3	0	0	20
в какой город улица хворостин	5	1	0	31
сколько выпустить серия сериал Санкт бамбара	6	2	0	45
в какой год поход Русь Константинополь	6	2	0	38
в какой год умереть царевич Алексей п рт	8	2	0	40
сколько мышца человек рука	4	1	0	26
в честь какой мореплаватель назвать командорский остров	7	0	0	55
какой упомянуть город не находиться Казахстан	6	1	0	45
в какой год впервые опубликовать книга рекорд Инесса	8	2	0	56
как звать ручной обезьянка Майкл Диксон	6	2	0	40
сколько зуб собака	3	0	0	18
организация учреждаю энный год Сингапур	5	3	0	37
какой этот двудольный растение относиться семейство бобовый	7	0	0	59
